Wavelength(nm),I[w/(m^2*lambda)]
779.0,1.2158254625242717
780.0,1.2028040255474453
781.0,1.203309918486882
782.0,1.217373410055012
783.0,1.196365803133047
784.0,1.1973083625937309
785.0,1.197414880227973
786.0,1.2008010274042027
787.0,1.1984510040371517
788.0,1.1901505798447205
789.0,1.1961840852520222
790.0,1.1886321554681647
791.0,1.18531073514393
792.0,1.1651899547867002
793.0,1.1538550042363294
794.0,1.149092296147541
795.0,1.1399028736915298
796.0,1.1693260233333334
797.0,1.1690982797460316
798.0,1.1696238664713376
799.0,1.1673942131673052
800.0,1.1387555925015995
801.0,1.1591488296598202
802.0,1.1612716100643086
803.0,1.1403042320180528
804.0,1.1551259610084033
805.0,1.1210848787167855
806.0,1.1439750020662767
807.0,1.1407050949348958
808.0,1.1338159690339427
809.0,1.1226560025589005
810.0,1.1142164045406824
811.0,1.1341029329605263
812.0,1.1336146980092288
813.0,1.1317046083740914
814.0,1.1293855153081511
815.0,1.12450956558804
816.0,1.1240660363981358
817.0,1.1210450463951935
818.0,1.119549164742475
819.0,1.0897013964185112
820.0,1.0686250911566912
821.0,1.1020800861927225
822.0,1.064031694081081
823.0,1.0993585462669377
824.0,1.1007651783503056
825.0,1.0923248978488769
826.0,1.101207177994543
827.0,1.0952762624008208
828.0,1.0927955113580248
829.0,1.0936165632233676
830.0,1.084344474084022
831.0,1.0720833143577346
832.0,1.087628531951557
833.0,1.0494796811172795
834.0,1.056238898706537
835.0,1.059364231910739
836.0,1.0715231407197763
837.0,1.0672937806657323
838.0,1.0686990077808989
839.0,1.0492029490921886
840.0,1.0646870041425547
841.0,1.0635712282673266
842.0,1.0614700998156028
843.0,1.0518944787073865
844.0,1.0352837228439058
845.0,1.0433504382441114
846.0,1.058541690336435
847.0,1.0341040996341464
848.0,1.0501911709777139
849.0,1.0480875896178803
850.0,0.9193023029263006
851.0,1.0419376076755973
852.0,1.0111956977342047
853.0,1.0121070023563636
854.0,0.814310459737418
855.0,0.8927278697880117
856.0,1.0007269345128205
857.0,1.0265686235929463
858.0,1.023114106754967
859.0,1.026128483778598
860.0,1.00873083147929
861.0,1.0101207590808006
862.0,1.0103901164115898
863.0,1.0203366849701938
864.0,1.0169174237388061
865.0,0.9931996153293414
866.0,0.8606627897376312
867.0,0.909925214338346
868.0,0.9817346586445783
869.0,0.9730576117371602
870.0,0.9940142205299016
871.0,0.9922159557132019
872.0,0.9837616172015209
873.0,0.9874508578125
874.0,0.9652849149045072
875.0,0.969217302593726
876.0,0.9792306575978511
877.0,0.9776587822846153
878.0,0.9711741192058598
879.0,0.9764562435239565
880.0,0.9713402272832818
881.0,0.9223509886645963
882.0,0.9832059033592536
883.0,0.9632176946255852
884.0,0.9646463539687499
885.0,0.9685204881989037
886.0,0.9554754213040063
887.0,0.9319237559480723
888.0,0.9578576843577622
889.0,0.9622677025375493
890.0,0.955448450007924
891.0,0.9505074245793652
892.0,0.9544838601591089
893.0,0.9321308430622011
894.0,0.9580354328057553
895.0,0.9324205019871795
896.0,0.9526673603290531
897.0,0.9428080504344328
898.0,0.9369059597177419
899.0,0.9387385719563458
900.0,0.9230586601214575
901.0,0.8946790093425323
902.0,0.8859529218795767
903.0,0.9176472812316475
904.0,0.9296174770424838
905.0,0.9267666785585585
906.0,0.9081200022413793
907.0,0.9203763488404605
908.0,0.9068117785737839
909.0,0.8959895577520662
910.0,0.8961810486164044
911.0,0.9032062195767635
912.0,0.9047972720947631
913.0,0.915505452852377
914.0,0.9094992287802841
915.0,0.8974264955564855
916.0,0.9038529298825504
917.0,0.8952571484608913
918.0,0.8919528687689714
919.0,0.8974212123310811
920.0,0.8896879771996616
921.0,0.8772908331721798
922.0,0.8551225704166666
923.0,0.838746165681431
924.0,0.8627198659607173
925.0,0.8725366474935843
926.0,0.8419888515437393
927.0,0.8750675052147767
928.0,0.8764982431524548
929.0,0.8710632919844694
930.0,0.8736769600086505
931.0,0.8706793874350087
932.0,0.8679064350043441
933.0,0.8724941929242819
934.0,0.8681018930890052
935.0,0.8623987465209791
936.0,0.8574929931375986
937.0,0.8657202256277436
938.0,0.8561616585576077
939.0,0.8559869351322752
940.0,0.8487631506537102
941.0,0.8346371462798936
942.0,0.8066271779503105
943.0,0.8434307976266667
944.0,0.8258523684581105
945.0,0.8338715295714285
946.0,0.8388646481736796
947.0,0.8407997157130045
948.0,0.8430645128032345
949.0,0.8413225123243244
950.0,0.8398056179512635
951.0,0.834475893318264
952.0,0.8242723598912057
953.0,0.8238106123524068
954.0,0.8149109077525023
955.0,0.7711264103099362
956.0,0.814137125786106
957.0,0.8137976481410256
958.0,0.8193658753076216
959.0,0.8205801662959559
960.0,0.8169644410599078
961.0,0.8112245897874307
962.0,0.8084327963459759
963.0,0.8068817541836735
964.0,0.8012932356598513
965.0,0.8094189955959031
966.0,0.7872210637406717
967.0,0.805792321534144
968.0,0.7986027439737581
969.0,0.7998816349671362
970.0,0.7949210453339606
971.0,0.7972912595004713
972.0,0.7994160359924386
973.0,0.793052831371807
974.0,0.7825566687286528
975.0,0.7893052076425856
976.0,0.7891529364442326
977.0,0.7776590098854962
978.0,0.7897263368451244
979.0,0.7765940446979865
980.0,0.7781059717963497
981.0,0.7828717191145331
982.0,0.7845675642333655
983.0,0.7800391222125603
984.0,0.7766971189157793
985.0,0.7781217726091174
986.0,0.7684356142996108
987.0,0.7705462494936709
988.0,0.7713779871972657
989.0,0.7555269192375367
990.0,0.7678462034705882
991.0,0.7671227634184677
992.0,0.7657716956102364
993.0,0.7578305686686391
994.0,0.763241674106614
995.0,0.7557380214158416
996.0,0.7573944832142856
997.0,0.7581326568091452
998.0,0.7535129675697211
999.0,0.7525536363872255
1000.0,0.74525512093
1001.0,0.7495371453206414
1002.0,0.7462633618775101
1003.0,0.741774926639839
1004.0,0.7246467392842741
1005.0,0.6752108208080808
1006.0,0.7140399586032389
1007.0,0.7222175037728195
1008.0,0.7363391852947154
1009.0,0.7337260598067141
1010.0,0.7362277834795918
1011.0,0.7345425319018406
1012.0,0.731380546171955
1013.0,0.7260088954620124
1014.0,0.7308206717780061
1015.0,0.7178486137010308
1016.0,0.7239994333230134
1017.0,0.7249413320682523
1018.0,0.7243371849948186
1019.0,0.7242245904880582
1020.0,0.7159841752965661
1021.0,0.7204276276329511
1022.0,0.7047278879227556
1023.0,0.7138507910890054
1024.0,0.715276002494759
1025.0,0.712655158067227
1026.0,0.7110398853263158
1027.0,0.7100389289451478
1028.0,0.7083448284143763
1029.0,0.7019117153333333
1030.0,0.7049550398089173
1031.0,0.7032651899574921
1032.0,0.7018989476677316
1033.0,0.6884058300747065
1034.0,0.6959865803422461
1035.0,0.6856557547537474
1036.0,0.6963662886051502
1037.0,0.6811883341827957
1038.0,0.6899861901508619
1039.0,0.6930952065334773
1040.0,0.6851573150486487
1041.0,0.6875975855748372
1042.0,0.6887034276438653
1043.0,0.6833872539565218
1044.0,0.6835444343293348
1045.0,0.6838608308515283
1046.0,0.6596044010065645
1047.0,0.6752683160416666
1048.0,0.6811708418551042
1049.0,0.6786925706828194
1050.0,0.6761064705512679
1051.0,0.6761735967439293
1052.0,0.6732606112624585
1053.0,0.6711564399556541
1054.0,0.6652067116777778
1055.0,0.6712450271746385
1056.0,0.6684581310937501
1057.0,0.6697703710825893
1058.0,0.6643269490817468
1059.0,0.6376824289349776
1060.0,0.6655478154269664
1061.0,0.6426838277477477
1062.0,0.661925824487035
1063.0,0.6534830716723163
1064.0,0.6590317860475651
1065.0,0.6578225009875143
1066.0,0.6372572002840908
1067.0,0.655586153868032
1068.0,0.6531183502964654
1069.0,0.5986684821028572
1070.0,0.6368391716494846
1071.0,0.6417952501720183
1072.0,0.6501312202643676
1073.0,0.6203589180897583
1074.0,0.646671629988466
1075.0,0.6220917606242774
1076.0,0.640174911527778
1077.0,0.6428935687587007
1078.0,0.6410507510348838
1079.0,0.6114185799417927
1080.0,0.638544277027972
1081.0,0.6129514743859649
1082.0,0.6309746610655738
1083.0,0.5980315746307151
1084.0,0.629166244359577
1085.0,0.6172780142
1086.0,0.6317509876151121
1087.0,0.5829618576859504
1088.0,0.6245796759053254
1089.0,0.6064989700711743
1090.0,0.6229322555291319
1091.0,0.6234343169560048
1092.0,0.6094650750954654
1093.0,0.608645271636798
1094.0,0.5554568178708134
1095.0,0.6012834559232614
1096.0,0.5954411400240385
1097.0,0.5920040766425992
1098.0,0.5917393376987952
1099.0,0.5992226331400966
1100.0,0.6070363742615013
1101.0,0.6059690310060606
1102.0,0.5812306901699029
1103.0,0.6028583079171742
1104.0,0.5992816353958588
1105.0,0.6011758720634921
1106.0,0.5990383972215422
1107.0,0.5989013972794117
1108.0,0.5964400662453988
